,ADM1_EN,ADM2_EN
250,Uasin Gishu,Soy
251,Nairobi,Starehe
252,Homa Bay,Suba North
253,Homa Bay,Suba South
254,Nakuru,Subukia
255,Migori,Suna East
256,Migori,Suna West
257,Wajir,Tarbaj
258,Taita Taveta,Taveta
259,Busia,Teso North
260,Busia,Teso South
261,Nyeri,Tetu
262,Tharaka-Nithi,Tharaka
263,Kiambu,Thika Town
264,Baringo,Tiaty
265,Meru,Tigania East
266,Meru,Tigania West
267,Nandi,Tinderet
268,Bungoma,Tongaren
269,Uasin Gishu,Turbo
270,Turkana,Turkana Central
271,Turkana,Turkana East
272,Turkana,Turkana North
273,Turkana,Turkana South
274,Turkana,Turkana West
275,Siaya,Ugenya
276,Siaya,Ugunja
277,Migori,Uriri
278,Vihiga,Vihiga
279,Taita Taveta,Voi
280,Wajir,Wajir East
281,Wajir,Wajir North
282,Wajir,Wajir South
283,Wajir,Wajir West
284,Bungoma,Webuye East
285,Bungoma,Webuye West
286,Nyamira,West Mugirango
287,Nairobi,Westlands
288,Taita Taveta,Wundanyi
289,Machakos,Yatta
